image_relative_path,severity_label,source_domain,municipality,province,barangay,latitude,longitude,incident_type,road_type,weather,lighting_condition,vehicle_types,motorcycle_present,multi_vehicle,rural_scene,review_status,reviewer_name,review_notes
v0_3_candidate/reviewed_pool/minor/starter_minor_fiat_seicento_04.jpg,minor,road_accident,,,,,,vehicular_accident,urban_local_road,clear,daylight,car,no,no,no,approved,Codex,"Starter public seed approved for v0.3 candidate experimentation; keep as non-local low-damage reference."
v0_3_candidate/reviewed_pool/minor/starter_minor_elon_fender_bender_01.jpg,minor,road_accident,,,,,,vehicular_accident,urban_road,clear,daylight,car|car,no,yes,no,approved,Codex,"Additional low-severity public seed from a fender-bender scene."
v0_3_candidate/reviewed_pool/minor/starter_minor_abandoned_suzuki_01.jpg,minor,road_accident,London,England,Osidge,,,vehicular_damage,urban_local_road,clear,daylight,car,no,no,no,approved,Codex,"Damaged vehicle reference seed useful for low-severity structural damage cues."
v0_3_candidate/reviewed_pool/minor/starter_minor_driveway_collision_01.jpg,minor,road_accident,,,,,,vehicular_accident,urban_local_road,clear,daylight,car|car,no,yes,no,approved,Codex,"Minor collision scene with limited structural damage and no visible severe injury cues."
v0_3_candidate/reviewed_pool/minor/starter_minor_police_cleanup_01.jpg,minor,road_accident,,,,,,vehicular_accident,urban_road,clear,daylight,car|police_vehicle,no,no,no,approved,Codex,"Public post-crash cleanup scene marked as a lighter-severity reference."
v0_3_candidate/reviewed_pool/serious/starter_serious_bulacan_truck_01.jpg,serious,road_accident,San Rafael,Bulacan,Capihan,,,vehicular_accident,national_road,clear,daylight,truck|truck,no,yes,no,approved,Codex,"Public Philippines crash scene along Pan-Philippine Highway."
v0_3_candidate/reviewed_pool/serious/starter_serious_bulacan_truck_02.jpg,serious,road_accident,San Rafael,Bulacan,Capihan,,,vehicular_accident,national_road,clear,daylight,truck|truck,no,yes,no,approved,Codex,"Second viewpoint of the same Philippines truck-accident context."
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_01.jpg,serious,road_accident,Cabiao,Nueva Ecija,Mapalad,,,vehicular_accident,national_road,clear,daylight,car|police_vehicle,no,yes,yes,approved,Codex,"Police investigation scene on Gapan-Olongapo Road Highway; useful Philippines roadside context."
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_02.jpg,serious,road_accident,Cabiao,Nueva Ecija,Mapalad,,,vehicular_accident,national_road,clear,daylight,car|police_vehicle,no,yes,yes,approved,Codex,"Additional Philippines police investigation angle on Gapan-Olongapo Road Highway."
v0_3_candidate/reviewed_pool/serious/starter_serious_pulilan_ems_01.jpg,serious,road_accident,Pulilan,Bulacan,,,,vehicular_accident,national_road,clear,daylight,car|ambulance|police_vehicle,no,yes,no,approved,Codex,"Philippines EMS response scene with active responders and roadway control."
v0_3_candidate/reviewed_pool/serious/starter_serious_pulilan_ems_02.jpg,serious,road_accident,Pulilan,Bulacan,,,,vehicular_accident,national_road,clear,daylight,car|ambulance|police_vehicle,no,yes,no,approved,Codex,"Second Philippines EMS response angle useful for responder-scene context."
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_03.jpg,serious,road_accident,Cabiao,Nueva Ecija,Mapalad,,,vehicular_accident,national_road,clear,daylight,car|police_vehicle,no,yes,yes,approved,Codex,"Additional Philippines investigation scene from Nueva Ecija with active roadside response context."
v0_3_candidate/reviewed_pool/serious/starter_serious_car_vs_motorcycle_01.jpg,serious,road_accident,,,,,,vehicular_accident,urban_crossroad,clear,daylight,car|motorcycle,yes,yes,no,approved,Codex,"Motorcycle-involved collision scene from public seed batch."
v0_3_candidate/reviewed_pool/fatal/starter_fatal_acpd_investigation_01.jpg,fatal,road_accident,,,,,,vehicular_accident,urban_road,clear,daylight,car|police_vehicle,no,yes,no,approved,Codex,"Fatal accident investigation scene approved as external candidate reference."
v0_3_candidate/reviewed_pool/fatal/starter_fatal_coxwell_scene_01.jpg,fatal,road_accident,Toronto,Ontario,Coxwell-Danforth,,,vehicular_accident,urban_road,clear,daylight,car|car,no,yes,no,approved,Codex,"Fatal crash scene reference approved from public source."
v0_3_candidate/reviewed_pool/fatal/starter_fatal_uber_autonomous_01.jpg,fatal,road_accident,Tempe,Arizona,,,,vehicular_accident,urban_road,clear,night,autonomous_vehicle|pedestrian,no,no,no,approved,Codex,"Fatal autonomous-vehicle crash reference seed from public source."
v0_3_candidate/reviewed_pool/fatal/starter_fatal_dutch_grand_prix_01.jpg,fatal,road_accident,Zandvoort,North Holland,,,,vehicular_accident,race_track,clear,daylight,race_car,no,no,no,approved,Codex,"Explicit fatal crash title from public source; useful as an additional severe catastrophic-damage reference."
v0_3_candidate/reviewed_pool/fatal/starter_fatal_scene_investigation_03.jpg,fatal,road_accident,,,,,,vehicular_accident,urban_road,clear,daylight,car|police_vehicle,no,yes,no,approved,Codex,"Additional fatal crash investigation seed from public source to strengthen the catastrophic-scene class."
