image_relative_path,source_title,source_page_url,license_reference,import_date,approved_for_reviewed_pool,notes
v0_3_candidate/reviewed_pool/minor/starter_minor_fiat_seicento_04.jpg,Fiat seicento road accident 4.JPG,https://commons.wikimedia.org/wiki/File:Fiat_seicento_road_accident_4.JPG,See source page,2026-04-04,yes,Starter external low-damage reference.
v0_3_candidate/reviewed_pool/minor/starter_minor_elon_fender_bender_01.jpg,Elon Fender Bender (3310089823).jpg,https://commons.wikimedia.org/wiki/File:Elon_Fender_Bender_(3310089823).jpg,See source page,2026-04-04,yes,Low-severity vehicle collision seed.
v0_3_candidate/reviewed_pool/minor/starter_minor_abandoned_suzuki_01.jpg,Abandoned Suzuki, Osidge, London (2).jpg,https://commons.wikimedia.org/wiki/File:Abandoned_Suzuki,_Osidge,_London_(2).jpg,See source page,2026-04-04,yes,Damaged vehicle reference seed for lighter structural damage cues.
v0_3_candidate/reviewed_pool/minor/starter_minor_driveway_collision_01.jpg,Accident Scene (3606241104).jpg,https://commons.wikimedia.org/wiki/File:Accident_Scene_(3606241104).jpg,CC BY 2.0 per source page,2026-04-04,yes,Low-severity driveway collision seed.
v0_3_candidate/reviewed_pool/minor/starter_minor_police_cleanup_01.jpg,Car crash scene with police nobody hurt.jpg,https://commons.wikimedia.org/wiki/File:Car_crash_scene_with_police_nobody_hurt.jpg,See source page,2026-04-04,yes,Public police cleanup scene used as lighter-severity reference.
v0_3_candidate/reviewed_pool/serious/starter_serious_bulacan_truck_01.jpg,Truck accidents in the Philippines 01.jpg,https://commons.wikimedia.org/wiki/File:Truck_accidents_in_the_Philippines_01.jpg,CC BY-SA 4.0 per source page,2026-04-04,yes,Philippines Pan-Philippine Highway crash scene.
v0_3_candidate/reviewed_pool/serious/starter_serious_bulacan_truck_02.jpg,Truck accidents in the Philippines 02.jpg,https://commons.wikimedia.org/wiki/File:Truck_accidents_in_the_Philippines_02.jpg,See source page,2026-04-04,yes,Second angle of Philippines truck-accident scene.
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_01.jpg,JfRoadAccidents in the Philippinesfvf 05.JPG,https://commons.wikimedia.org/wiki/File:JfRoadAccidents_in_the_Philippinesfvf_05.JPG,CC BY-SA 4.0 per source page,2026-04-04,yes,Police investigation scene on Gapan-Olongapo Road Highway.
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_02.jpg,JfRoadAccidents in the Philippinesfvf 07.JPG,https://commons.wikimedia.org/wiki/File:JfRoadAccidents_in_the_Philippinesfvf_07.JPG,CC BY-SA 4.0 per source page,2026-04-04,yes,Additional Philippines investigation scene from the same highway context.
v0_3_candidate/reviewed_pool/serious/starter_serious_pulilan_ems_01.jpg,Emergency medical services 01.jpg,https://commons.wikimedia.org/wiki/File:Emergency_medical_services_01.jpg,CC BY-SA 4.0 per source page,2026-04-04,yes,Philippines EMS and responder scene.
v0_3_candidate/reviewed_pool/serious/starter_serious_pulilan_ems_02.jpg,Emergency medical services 02.jpg,https://commons.wikimedia.org/wiki/File:Emergency_medical_services_02.jpg,CC BY-SA 4.0 per source page,2026-04-04,yes,Second Philippines EMS response scene.
v0_3_candidate/reviewed_pool/serious/starter_serious_nueva_ecija_investigation_03.jpg,JfRoadAccidents in the Philippinesfvf 05.JPG,https://commons.wikimedia.org/wiki/File:JfRoadAccidents_in_the_Philippinesfvf_05.JPG,CC BY-SA 4.0 per source page,2026-04-04,yes,Additional Philippines investigation scene from Nueva Ecija.
v0_3_candidate/reviewed_pool/serious/starter_serious_car_vs_motorcycle_01.jpg,Car vs motorcycle accident.jpg,https://commons.wikimedia.org/wiki/File:Car_vs_motorcycle_accident.jpg,CC BY-SA 3.0 per source page,2026-04-04,yes,Motorcycle-involved crash seed.
v0_3_candidate/reviewed_pool/fatal/starter_fatal_acpd_investigation_01.jpg,ACPD - Fatal Accident Investigation (8368201560).jpg,https://commons.wikimedia.org/wiki/File:ACPD_-_Fatal_Accident_Investigation_%288368201560%29.jpg,CC BY-SA 2.0 per source page,2026-04-04,yes,Fatal investigation scene seed.
v0_3_candidate/reviewed_pool/fatal/starter_fatal_coxwell_scene_01.jpg,Fatal Crash at Coxwell and Danforth Traffic chaos around the accident scene (2669056759).jpg,https://commons.wikimedia.org/wiki/File:Fatal_Crash_at_Coxwell_and_Danforth_Traffic_chaos_around_the_accident_scene_(2669056759).jpg,See source page,2026-04-04,yes,Fatal urban crash scene seed.
v0_3_candidate/reviewed_pool/fatal/starter_fatal_uber_autonomous_01.jpg,UberAutonomousVolvoXC90FatalCrash.jpg,https://commons.wikimedia.org/wiki/File:UberAutonomousVolvoXC90FatalCrash.jpg,See source page,2026-04-04,yes,Fatal autonomous-vehicle crash seed.
v0_3_candidate/reviewed_pool/fatal/starter_fatal_dutch_grand_prix_01.jpg,Fatal accident at 1973 Dutch Grand Prix (4).jpg,https://commons.wikimedia.org/wiki/File:Fatal_accident_at_1973_Dutch_Grand_Prix_(4).jpg,See source page,2026-04-04,yes,Explicit fatal motorsport crash seed.
v0_3_candidate/reviewed_pool/fatal/starter_fatal_scene_investigation_03.jpg,Fatal accident on 32 Ave & 68th St NE (2806965973).jpg,https://commons.wikimedia.org/wiki/File:Fatal_accident_on_32_Ave_%26_68th_St_NE_(2806965973).jpg,CC BY-SA 2.0 per source page,2026-04-04,yes,Additional fatal crash investigation seed.
